File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH CORRECT C
Injection Number	280
Position	RE1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/6/2023
Injection Time	2:19:22 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.623101
Signal Max.	4.201809
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.643333	0.2	-0.007768
0.646667	0.2	-0.007467
0.650000	0.2	-0.006354
0.653333	0.2	-0.004929
0.656667	0.2	-0.003785
0.660000	0.2	-0.003191
0.663333	0.2	-0.003333
0.666667	0.2	-0.004409
0.670000	0.2	-0.006282
0.673333	0.2	-0.008424
0.676667	0.2	-0.010067
0.680000	0.2	-0.010417
0.683333	0.2	-0.009110
0.686667	0.2	-0.006584
0.690000	0.2	-0.004019
0.693333	0.2	-0.002594
0.696667	0.2	-0.002549
0.700000	0.2	-0.003302
0.703333	0.2	-0.004149
0.706667	0.2	-0.004589
0.710000	0.2	-0.004456
0.713333	0.2	-0.003898
0.716667	0.2	-0.003237
0.720000	0.2	-0.002908
0.723333	0.2	-0.003309
0.726667	0.2	-0.004515
0.730000	0.2	-0.006222
0.733333	0.2	-0.007949
0.736667	0.2	-0.009147
0.740000	0.2	-0.009265
0.743333	0.2	-0.008063
0.746667	0.2	-0.005892
0.750000	0.2	-0.003374
0.753333	0.2	-0.000801
0.756667	0.2	0.001660
0.760000	0.2	0.003242
0.763333	0.2	0.002823
0.766667	0.2	0.000178
0.770000	0.2	-0.003617
0.773333	0.2	-0.007035
0.776667	0.2	-0.008867
0.780000	0.2	-0.008909
0.783333	0.2	-0.008200
0.786667	0.2	-0.007722
0.790000	0.2	-0.007267
0.793333	0.2	-0.006143
0.796667	0.2	-0.004197
0.800000	0.2	-0.001937
0.803333	0.2	-0.000163
0.806667	0.2	0.000419
0.810000	0.2	-0.000530
0.813333	0.2	-0.002736
0.816667	0.2	-0.005293
0.820000	0.2	-0.007351
0.823333	0.2	-0.008737
0.826667	0.2	-0.009611
0.830000	0.2	-0.009894
0.833333	0.2	-0.009490
0.836667	0.2	-0.008732
0.840000	0.2	-0.007956
0.843333	0.2	-0.006928
0.846667	0.2	-0.005535
0.850000	0.2	-0.004436
0.853333	0.2	-0.004176
0.856667	0.2	-0.004473
0.860000	0.2	-0.004795
0.863333	0.2	-0.004835
0.866667	0.2	-0.004545
0.870000	0.2	-0.003987
0.873333	0.2	-0.002927
0.876667	0.2	-0.001125
0.880000	0.2	0.000911
0.883333	0.2	0.002268
0.886667	0.2	0.002532
0.890000	0.2	0.001940
0.893333	0.2	0.001290
0.896667	0.2	0.001737
0.900000	0.2	0.003547
0.903333	0.2	0.005267
0.906667	0.2	0.005142
0.910000	0.2	0.002762
0.913333	0.2	-0.001165
0.916667	0.2	-0.005606
0.920000	0.2	-0.009452
0.923333	0.2	-0.011853
0.926667	0.2	-0.012753
0.930000	0.2	-0.012763
0.933333	0.2	-0.012247
0.936667	0.2	-0.010860
0.940000	0.2	-0.008228
0.943333	0.2	-0.004628
0.946667	0.2	-0.000941
0.950000	0.2	0.001746
0.953333	0.2	0.002677
0.956667	0.2	0.001851
0.960000	0.2	-0.000048
0.963333	0.2	-0.002234
0.966667	0.2	-0.004278
0.970000	0.2	-0.005928
0.973333	0.2	-0.007071
0.976667	0.2	-0.007885
0.980000	0.2	-0.008591
0.983333	0.2	-0.009252
0.986667	0.2	-0.009854
0.990000	0.2	-0.010254
0.993333	0.2	-0.010213
0.996667	0.2	-0.009675
1.000000	0.2	-0.008787
1.003333	0.2	-0.007515
1.006667	0.2	-0.005642
1.010000	0.2	-0.003425
1.013333	0.2	-0.001627
1.016667	0.2	-0.000723
1.020000	0.2	-0.000619
1.023333	0.2	-0.001164
1.026667	0.2	-0.002396
1.030000	0.2	-0.004189
1.033333	0.2	-0.006236
1.036667	0.2	-0.008224
1.040000	0.2	-0.009644
1.043333	0.2	-0.009989
1.046667	0.2	-0.009263
1.050000	0.2	-0.007944
1.053333	0.2	-0.006593
1.056667	0.2	-0.005484
1.060000	0.2	-0.004659
1.063333	0.2	-0.004442
1.066667	0.2	-0.005429
1.070000	0.2	-0.007748
1.073333	0.2	-0.010475
1.076667	0.2	-0.012051
1.080000	0.2	-0.011560
1.083333	0.2	-0.009425
1.086667	0.2	-0.006937
1.090000	0.2	-0.005489
1.093333	0.2	-0.005949
1.096667	0.2	-0.008298
1.100000	0.2	-0.011731
1.103333	0.2	-0.015102
1.106667	0.2	-0.017493
1.110000	0.2	-0.018501
1.113333	0.2	-0.018176
1.116667	0.2	-0.017008
1.120000	0.2	-0.015829
1.123333	0.2	-0.015333
1.126667	0.2	-0.015519
1.130000	0.2	-0.015794
1.133333	0.2	-0.015771
1.136667	0.2	-0.015529
1.140000	0.2	-0.015075
1.143333	0.2	-0.014186
