File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/376.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 8
Injection Number	248
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	10:01:44 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.785176
Signal Max.	55.276324
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
19.086667	0.2	0.131617
19.090000	0.2	0.130862
19.093333	0.2	0.129392
19.096667	0.2	0.127649
19.100000	0.2	0.125916
19.103333	0.2	0.124376
19.106667	0.2	0.123303
19.110000	0.2	0.123274
19.113333	0.2	0.124563
19.116667	0.2	0.126617
19.120000	0.2	0.128684
19.123333	0.2	0.130189
19.126667	0.2	0.130531
19.130000	0.2	0.129477
19.133333	0.2	0.127678
19.136667	0.2	0.126248
19.140000	0.2	0.126011
19.143333	0.2	0.127153
19.146667	0.2	0.128913
19.150000	0.2	0.129606
19.153333	0.2	0.127977
19.156667	0.2	0.124693
19.160000	0.2	0.121571
19.163333	0.2	0.119773
19.166667	0.2	0.119416
19.170000	0.2	0.120015
19.173333	0.2	0.120973
19.176667	0.2	0.122063
19.180000	0.2	0.123318
19.183333	0.2	0.124514
19.186667	0.2	0.125260
19.190000	0.2	0.125486
19.193333	0.2	0.125382
19.196667	0.2	0.125107
19.200000	0.2	0.124624
19.203333	0.2	0.123675
19.206667	0.2	0.122313
19.210000	0.2	0.121210
19.213333	0.2	0.121141
19.216667	0.2	0.122437
19.220000	0.2	0.124769
19.223333	0.2	0.127247
19.226667	0.2	0.129118
19.230000	0.2	0.130271
19.233333	0.2	0.130695
19.236667	0.2	0.129833
19.240000	0.2	0.127142
19.243333	0.2	0.123212
19.246667	0.2	0.119659
19.250000	0.2	0.117837
19.253333	0.2	0.117993
19.256667	0.2	0.119606
19.260000	0.2	0.121883
19.263333	0.2	0.123776
19.266667	0.2	0.124356
19.270000	0.2	0.123463
19.273333	0.2	0.121653
19.276667	0.2	0.119782
19.280000	0.2	0.118823
19.283333	0.2	0.119504
19.286667	0.2	0.121679
19.290000	0.2	0.124254
19.293333	0.2	0.125976
19.296667	0.2	0.126387
19.300000	0.2	0.125925
19.303333	0.2	0.125125
19.306667	0.2	0.124090
19.310000	0.2	0.122716
19.313333	0.2	0.121173
19.316667	0.2	0.119876
19.320000	0.2	0.119063
19.323333	0.2	0.118801
19.326667	0.2	0.119225
19.330000	0.2	0.120512
19.333333	0.2	0.122589
19.336667	0.2	0.124750
19.340000	0.2	0.125919
19.343333	0.2	0.125660
19.346667	0.2	0.124528
19.350000	0.2	0.123227
19.353333	0.2	0.121920
19.356667	0.2	0.120465
19.360000	0.2	0.118862
19.363333	0.2	0.117387
