File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/180.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 5
Injection Number	245
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	8:22:34 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.752598
Signal Max.	4.617714
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.870000	0.2	0.062215
1.873333	0.2	0.062354
1.876667	0.2	0.062142
1.880000	0.2	0.062273
1.883333	0.2	0.063329
1.886667	0.2	0.065330
1.890000	0.2	0.067482
1.893333	0.2	0.068732
1.896667	0.2	0.068442
1.900000	0.2	0.066511
1.903333	0.2	0.063257
1.906667	0.2	0.059472
1.910000	0.2	0.056294
1.913333	0.2	0.054686
1.916667	0.2	0.055058
1.920000	0.2	0.057119
1.923333	0.2	0.059998
1.926667	0.2	0.063128
1.930000	0.2	0.066928
1.933333	0.2	0.072284
1.936667	0.2	0.079677
1.940000	0.2	0.089060
1.943333	0.2	0.100378
1.946667	0.2	0.113888
1.950000	0.2	0.130542
1.953333	0.2	0.152833
1.956667	0.2	0.185115
1.960000	0.2	0.233191
1.963333	0.2	0.303551
1.966667	0.2	0.401542
1.970000	0.2	0.528452
1.973333	0.2	0.678775
1.976667	0.2	0.838660
1.980000	0.2	0.986292
1.983333	0.2	1.094719
1.986667	0.2	1.136528
1.990000	0.2	1.089291
1.993333	0.2	0.941119
1.996667	0.2	0.694687
2.000000	0.2	0.367355
2.003333	0.2	-0.012712
2.006667	0.2	-0.411720
2.010000	0.2	-0.795197
2.013333	0.2	-1.133134
2.016667	0.2	-1.404347
2.020000	0.2	-1.597969
2.023333	0.2	-1.712220
2.026667	0.2	-1.752598
2.030000	0.2	-1.730726
2.033333	0.2	-1.662766
2.036667	0.2	-1.566381
2.040000	0.2	-1.457479
2.043333	0.2	-1.348477
2.046667	0.2	-1.247664
2.050000	0.2	-1.158719
2.053333	0.2	-1.081092
2.056667	0.2	-1.011487
2.060000	0.2	-0.945198
2.063333	0.2	-0.877109
2.066667	0.2	-0.802933
2.070000	0.2	-0.720432
2.073333	0.2	-0.630077
2.076667	0.2	-0.534718
2.080000	0.2	-0.438468
2.083333	0.2	-0.345674
2.086667	0.2	-0.260156
2.090000	0.2	-0.184588
2.093333	0.2	-0.120409
2.096667	0.2	-0.068130
2.100000	0.2	-0.027189
2.103333	0.2	0.004387
2.106667	0.2	0.029422
2.110000	0.2	0.050383
2.113333	0.2	0.068665
2.116667	0.2	0.084739
2.120000	0.2	0.098974
2.123333	0.2	0.112413
2.126667	0.2	0.126648
2.130000	0.2	0.143172
2.133333	0.2	0.163056
2.136667	0.2	0.186641
2.140000	0.2	0.213272
2.143333	0.2	0.241813
2.146667	0.2	0.271442
2.150000	0.2	0.301479
2.153333	0.2	0.330689
2.156667	0.2	0.357313
2.160000	0.2	0.379755
2.163333	0.2	0.397109
2.166667	0.2	0.409180
2.170000	0.2	0.416150
2.173333	0.2	0.418488
2.176667	0.2	0.416905
2.180000	0.2	0.412188
2.183333	0.2	0.405274
2.186667	0.2	0.397637
2.190000	0.2	0.391336
2.193333	0.2	0.388292
2.196667	0.2	0.389603
2.200000	0.2	0.395601
2.203333	0.2	0.406038
2.206667	0.2	0.420123
2.210000	0.2	0.436719
2.213333	0.2	0.454538
2.216667	0.2	0.472109
2.220000	0.2	0.487846
2.223333	0.2	0.500530
2.226667	0.2	0.509631
2.230000	0.2	0.514905
2.233333	0.2	0.515972
2.236667	0.2	0.512639
2.240000	0.2	0.505205
2.243333	0.2	0.494341
2.246667	0.2	0.480868
2.250000	0.2	0.465494
2.253333	0.2	0.449172
2.256667	0.2	0.433741
2.260000	0.2	0.421214
2.263333	0.2	0.412699
2.266667	0.2	0.408550
2.270000	0.2	0.408871
2.273333	0.2	0.413574
2.276667	0.2	0.422085
2.280000	0.2	0.432867
2.283333	0.2	0.443880
2.286667	0.2	0.453800
2.290000	0.2	0.462269
2.293333	0.2	0.469008
2.296667	0.2	0.473028
2.300000	0.2	0.473061
2.303333	0.2	0.468715
2.306667	0.2	0.460440
2.310000	0.2	0.448450
2.313333	0.2	0.432534
2.316667	0.2	0.412855
2.320000	0.2	0.390417
2.323333	0.2	0.366650
2.326667	0.2	0.342911
2.330000	0.2	0.320352
2.333333	0.2	0.299981
2.336667	0.2	0.282768
2.340000	0.2	0.269166
2.343333	0.2	0.258428
2.346667	0.2	0.249193
2.350000	0.2	0.240579
2.353333	0.2	0.232395
2.356667	0.2	0.224837
2.360000	0.2	0.218143
2.363333	0.2	0.212422
2.366667	0.2	0.207558
2.370000	0.2	0.202984
2.373333	0.2	0.197740
2.376667	0.2	0.191051
2.380000	0.2	0.183059
2.383333	0.2	0.174810
2.386667	0.2	0.167208
2.390000	0.2	0.160246
2.393333	0.2	0.153576
2.396667	0.2	0.147430
2.400000	0.2	0.142338
2.403333	0.2	0.138342
2.406667	0.2	0.134986
2.410000	0.2	0.131547
2.413333	0.2	0.127207
2.416667	0.2	0.121595
2.420000	0.2	0.115166
2.423333	0.2	0.108930
2.426667	0.2	0.103882
2.430000	0.2	0.100535
2.433333	0.2	0.098753
2.436667	0.2	0.098037
2.440000	0.2	0.097935
2.443333	0.2	0.097898
2.446667	0.2	0.096997
2.450000	0.2	0.094430
2.453333	0.2	0.090372
2.456667	0.2	0.085936
2.460000	0.2	0.082112
2.463333	0.2	0.078947
2.466667	0.2	0.075890
2.470000	0.2	0.072600
2.473333	0.2	0.069271
2.476667	0.2	0.066419
2.480000	0.2	0.064433
2.483333	0.2	0.063436
2.486667	0.2	0.063472
2.490000	0.2	0.064479
2.493333	0.2	0.066197
2.496667	0.2	0.068337
2.500000	0.2	0.070713
2.503333	0.2	0.073145
2.506667	0.2	0.075395
2.510000	0.2	0.077184
2.513333	0.2	0.078180
2.516667	0.2	0.077936
2.520000	0.2	0.075988
2.523333	0.2	0.072396
2.526667	0.2	0.068332
2.530000	0.2	0.065688
2.533333	0.2	0.065865
2.536667	0.2	0.069042
2.540000	0.2	0.074517
2.543333	0.2	0.081474
2.546667	0.2	0.089447
2.550000	0.2	0.098471
2.553333	0.2	0.109196
2.556667	0.2	0.122550
2.560000	0.2	0.139278
2.563333	0.2	0.160158
2.566667	0.2	0.185879
2.570000	0.2	0.216127
2.573333	0.2	0.249570
2.576667	0.2	0.285074
2.580000	0.2	0.322322
2.583333	0.2	0.361105
2.586667	0.2	0.400701
2.590000	0.2	0.440253
2.593333	0.2	0.479148
2.596667	0.2	0.517001
2.600000	0.2	0.553892
2.603333	0.2	0.590349
2.606667	0.2	0.626428
2.610000	0.2	0.661404
2.613333	0.2	0.694549
2.616667	0.2	0.725185
2.620000	0.2	0.752345
2.623333	0.2	0.775408
2.626667	0.2	0.794592
2.630000	0.2	0.810517
2.633333	0.2	0.823655
2.636667	0.2	0.834168
2.640000	0.2	0.842066
2.643333	0.2	0.847268
2.646667	0.2	0.849550
2.650000	0.2	0.848868
2.653333	0.2	0.845510
2.656667	0.2	0.839880
2.660000	0.2	0.832211
2.663333	0.2	0.822293
2.666667	0.2	0.809792
2.670000	0.2	0.795017
2.673333	0.2	0.779194
2.676667	0.2	0.763798
2.680000	0.2	0.749386
2.683333	0.2	0.735371
2.686667	0.2	0.720925
2.690000	0.2	0.705763
2.693333	0.2	0.690103
2.696667	0.2	0.673921
2.700000	0.2	0.656743
2.703333	0.2	0.638607
2.706667	0.2	0.620668
2.710000	0.2	0.604368
2.713333	0.2	0.590319
2.716667	0.2	0.578113
2.720000	0.2	0.566605
2.723333	0.2	0.554441
2.726667	0.2	0.541078
2.730000	0.2	0.527060
2.733333	0.2	0.513002
2.736667	0.2	0.498929
2.740000	0.2	0.484678
2.743333	0.2	0.470392
2.746667	0.2	0.456448
2.750000	0.2	0.443153
2.753333	0.2	0.430649
2.756667	0.2	0.418913
2.760000	0.2	0.407669
2.763333	0.2	0.396295
2.766667	0.2	0.384045
2.770000	0.2	0.370620
2.773333	0.2	0.356482
2.776667	0.2	0.342672
2.780000	0.2	0.330295
2.783333	0.2	0.319950
2.786667	0.2	0.311707
2.790000	0.2	0.305401
2.793333	0.2	0.300495
2.796667	0.2	0.295995
2.800000	0.2	0.291156
2.803333	0.2	0.285927
2.806667	0.2	0.280370
2.810000	0.2	0.274267
