community,locusId,gene_name,fitness_mean,fitness_sd,Estimate,padj,direction
S,STM1595,srfC,0.3395986953904023,0.06749184309220806,0.3395986953904022,0.01551002769105128,Positive
S,STM1732,ompW,0.31939995270652993,0.06990866224015704,0.31939995270652993,0.00461113429241959,Positive
S,STM1741,NA,0.21928929842731232,0.06303840284252615,0.2192892984273123,0.03599203396064419,Positive
S,STM1746,oppA,0.17091295586798705,0.019427953779727444,0.17091295586798688,0.02541174511803981,Positive
S,STM1750,tdk,0.4170448762156104,0.09253465464128377,0.4170448762156104,0.01273510691461189,Positive
S,STM1789,NA,0.49469111982133507,0.1656748506386616,0.49469111982133496,0.00896700168733441,Positive
S,STM1821,yoaA,0.23307241379509216,0.06522031134888176,0.2330724137950922,0.02764140213989538,Positive
S,STM1838,yobF,0.9656703462166797,0.12188512807455394,0.9656703462166796,1.0717849621204648e-5,Positive
SE,STM1838,yobF,0.23174499243034374,0.13841864683168084,-0.733925353786336,0.02996894033940381,Positive
SE,STM1890,yebA,0.23425149189863792,0.040262234058553094,0.27405321563669816,0.04635793595819538,Positive
S,STM1913,flhA,0.9431556062303373,0.0687660631170726,0.9431556062303365,1.6508881167097222e-9,Positive
S,STM1914,flhB,0.6847610365867371,0.11761413344831437,0.6847610365867368,1.0756823050063586e-5,Positive
S,STM1923,motA,0.33759119402219984,0.026757152311568746,0.33759119402219956,7.169739559073388e-4,Positive
S,STM1924,flhC,0.5905704243501232,0.10851039640205466,0.5905704243501229,1.717705218148934e-4,Positive
S,STM1925,flhD,0.7340046106826196,0.12752866464684842,0.7340046106826192,6.318626189962315e-7,Positive
S,STM1956,fliA,0.6997255810092392,0.08045823122858091,0.699725581009239,3.0212520964906575e-8,Positive
S,STM1959,fliC,0.452917296691292,0.03459353288898597,0.4529172966912918,2.9297186037278435e-4,Positive
S,STM1968,fliE,0.7899485621519601,0.2597106266394187,0.7899485621519597,0.00221923096313508,Positive
S,STM1969,fliF,0.7690731094858302,0.14749287182441506,0.7690731094858299,1.23940544530429e-5,Positive
S,STM1970,fliG,0.7708779877101212,0.055423522470398674,0.7708779877101208,1.2857900865093453e-5,Positive
S,STM1971,fliH,0.7694516339785007,0.0817182377419323,0.7694516339785011,7.14681484515888e-7,Positive
S,STM1972,fliI,0.6803971832355301,0.06426990680777572,0.6803971832355294,6.48425835659994e-5,Positive
S,STM1973,fliJ,0.8489064334854806,0.1463208768870436,0.8489064334854809,1.358465461298746e-5,Positive
S,STM1974,fliK,0.7252119970993101,0.044488359869845874,0.7252119970993097,4.665717856977143e-8,Positive
S,STM1975,fliL,0.814369777525208,0.09232139054406734,0.8143697775252076,7.376986745421352e-7,Positive
S,STM1976,fliM,0.7233454835881187,0.0728344543759755,0.7233454835881187,4.3150830866782605e-9,Positive
S,STM1977,fliN,0.7254841246926018,0.13791898109717715,0.7254841246926015,0.00106454983763769,Positive
S,STM1979,fliP,0.7391513167624659,0.11301145601409175,0.7391513167624654,5.300271697282429e-6,Positive
S,STM1980,fliQ,0.9861840579724543,0.1270822025057461,0.986184057972454,3.089941286429352e-4,Positive
S,STM1981,fliR,0.734486518577808,0.13835057243335824,0.7344865185778077,1.666447162212889e-6,Positive
S,STM1990,yedA,0.28770904880142867,0.08459153700583909,0.28770904880142845,0.02667648067592329,Positive
S,STM2154,apbC,0.3566879511357847,0.137362043876939,0.35668795113578494,0.03285955076129078,Positive
S,STM2190,mglB,0.3735314530872211,0.10464735906430447,0.3735314530872209,0.00531857256548431,Positive
S,STM2204,fruA,0.6377502359358441,0.08429434187987671,0.6377502359358439,7.822896737790132e-6,Positive
S,STM2214,spr,0.5054549029006318,0.14136735925344895,0.5054549029006318,0.00801504425943355,Positive
S,STM2226,yejK,0.40274553662176665,0.03102814906169093,0.40274553662176665,9.706228324036798e-4,Positive
S,STM2298,arnC,0.31069185319800763,0.052777540140198045,0.31069185319800763,0.00281075386461322,Positive
S,STM2299,arnA,0.16600296054721886,0.039260106374688686,0.1660029605472189,0.03689635972139714,Positive
S,STM2300,arnD,1.0063555850166048,0.12360564038624934,1.0063555850166044,1.9495126492513914e-7,Positive
S,STM2301,arnT,0.3987293288901302,0.06952117845807317,0.3987293288901301,5.359143940498243e-5,Positive
S,STM2310,menF,0.3249754991167321,0.08095715763926174,0.3249754991167319,0.012326369136841,Positive
S,STM2341,NA,0.3071247398698686,0.06331458885141661,0.3071247398698685,0.04153855962900449,Positive
S,STM2373,NA,0.4108289767644782,0.04957800576599011,0.410828976764478,0.00289355216323316,Positive
S,STM2383,mepA,0.30401609006958336,0.04675813268670307,0.30401609006958324,0.04683303480168298,Positive
