Estimate,SE,t,p,term,gene,padj
-0.20153279997843798,0.13911406453658653,-1.4486874540671302,0.16673952853410662,MTRUE,STM0006,0.8267113495755286
0.20110837086339686,0.19673699678448664,1.0222193799354313,0.32188525375779947,ETRUE:MTRUE,STM0006,0.9675636332262388
-0.4853706778772052,0.1255060325924049,-3.867309545617633,0.0013646103051846107,(Intercept),STM0007,0.015378941534620216
-0.002146509218521351,0.17749233345181867,-0.0120935320234777,0.9905005049914476,ETRUE,STM0007,0.9991683051055259
0.2556650117712406,0.17749233345181875,1.4404284782285668,0.1690279812913253,MTRUE,STM0007,0.8274814098552402
-0.12126001261629352,0.2510120651848098,-0.4830843988595321,0.6355796194452519,ETRUE:MTRUE,STM0007,0.9832598879686079
-0.16431135781160736,0.10206681314159029,-1.6098411692708527,0.12698239570474967,(Intercept),STM0009,0.5199394518475909
0.003992472049270003,0.14434427141303738,0.027659373040483527,0.9782758843151025,ETRUE,STM0009,0.9991683051055259
-0.026071690535081217,0.14434427141303743,-0.18062158116741428,0.8589326335728682,MTRUE,STM0009,0.9904478043581131
-0.18005753973993996,0.20413362628318055,-0.8820572240761476,0.39080513076015777,ETRUE:MTRUE,STM0009,0.9769562353827875
-0.053007938271481626,0.19089305949691995,-0.2776839472905871,0.7848110397101312,(Intercept),STM0010,0.9564295197291335
-0.01567030158395475,0.2699635537034383,-0.058045989427035656,0.9544307604831229,ETRUE,STM0010,0.9976799298209721
-0.2917364606014608,0.2699635537034384,-1.0806512827355226,0.2958725858936339,MTRUE,STM0010,0.9208253405877822
0.2098687272184508,0.3817861189938399,0.5497023510743119,0.5901148320668564,ETRUE:MTRUE,STM0010,0.9832598879686079
-0.01885650763427548,0.20708420155012394,-0.09105720037127668,0.9285773907035305,(Intercept),STM0011,0.9924807235896898
-0.11172638261362919,0.2928612863853887,-0.3814993234257793,0.707851506258578,ETRUE,STM0011,0.9962820938216866
-0.08202406931529856,0.29286128638538883,-0.2800782251818683,0.7830062257258368,MTRUE,STM0011,0.9883797477890854
-0.06308903665599556,0.41416840310024783,-0.152327015252115,0.8808333458612816,ETRUE:MTRUE,STM0011,0.9972217584202876
-1.497879890420828,0.4871274443430917,-3.074924042599922,0.007250731728389534,(Intercept),STM0013,0.06864026036208759
0.1266151350675758,0.688902238394145,0.18379260221699972,0.8564852291137794,ETRUE,STM0013,0.9962820938216866
-0.2455229307361354,0.6889022383941453,-0.3563973479146442,0.7261992700316202,MTRUE,STM0013,0.9883797477890854
0.9075160572441474,0.9742548886861833,0.9314975657632721,0.3654396514897279,ETRUE:MTRUE,STM0013,0.970786677885297
-0.2099814414278055,0.2252392258268535,-0.9322596481894455,0.365057660754892,(Intercept),STM0014,0.7795459524145321
0.22449059859794968,0.3185363679427524,0.704756571589638,0.49109413072213537,ETRUE,STM0014,0.9962820938216866
0.018674336071211946,0.31853636794275253,0.05862544422107589,0.9539764078016348,MTRUE,STM0014,0.9950191529654046
-0.22661161601777394,0.450478451653707,-0.5030465168442184,0.6217856012075638,ETRUE:MTRUE,STM0014,0.9832598879686079
0.05533334140554373,0.1567594233972959,0.3529825525404314,0.7287089077424393,(Intercept),STM0016,0.9417242892193882
-0.2357807034077068,0.22169130259824205,-1.0635541432809303,0.30331967468322585,ETRUE,STM0016,0.9962820938216866
-0.0623401563644405,0.22169130259824216,-0.28120253538956297,0.7821591580334364,MTRUE,STM0016,0.9883797477890854
0.04799476893669481,0.31351884679459174,0.15308415882296084,0.8802459097794646,ETRUE:MTRUE,STM0016,0.9972217584202876
-0.04007160940086895,0.2536936736474452,-0.15795273419610747,0.8764703260013568,(Intercept),STM0017,0.9819111824054302
-0.17482202796959975,0.35877703396047084,-0.4872720698974874,0.6326741533613927,ETRUE,STM0017,0.9962820938216866
-0.3425776908403017,0.35877703396047095,-0.9548484390392892,0.35385928258888155,MTRUE,STM0017,0.9395192925277391
0.46999897993074713,0.5073873472948904,0.9263119832146437,0.36804616279610103,ETRUE:MTRUE,STM0017,0.970786677885297
0.054138396550201626,0.05155848578941127,1.0500385285038802,0.30930267692227753,(Intercept),STM0018,0.7388300870713128
